transaction_id,date,customer_id,product,region,customer_tier,sales_rep,quantity,list_price,volume_discount,payment_terms,rep_discretionary,freight_waiver,invoice_price,variable_cost
TXN0100045,2024-02-15,CUST1072,Wiper Blade,West,Silver,Ivanov,213,62.47,0.0775,0.005,0.0244,0.0098,55.18,26.16
TXN0100046,2024-01-25,CUST1093,Air Filter,Southwest,Standard,Ivanov,110,84.75,0.0193,0.0368,0.0692,0.0147,72.89,39.69
TXN0100047,2024-04-20,CUST1060,Wiper Blade,Midwest,Gold,Foster,86,37.3,0.1157,0.0009,0.0887,0.0392,28.18,18.33
TXN0100048,2024-07-20,CUST1076,Wiper Blade,Northeast,Bronze,Garcia,2,31.66,0.0527,0.0223,0.0038,0.0366,28.01,12.21
TXN0100049,2024-06-03,CUST1136,Brake Pad,Southeast,Bronze,Chen,61,66.18,0.0541,0.0388,0.0167,0.0135,58.03,30.86
TXN0100050,2024-12-24,CUST1133,Oil Filter,Southeast,Bronze,Hall,118,90.31,0.0666,0.0353,0.0549,0.0274,73.67,36.42
TXN0100051,2024-11-19,CUST1032,Brake Pad,Midwest,Silver,Garcia,215,72.62,0.0678,0.0185,0.0467,0.0299,60.79,32.98
TXN0100052,2024-08-17,CUST1047,Spark Plug,Midwest,Silver,Ivanov,22,87.18,0.0622,0.002,0.0298,0.0076,78.32,43.06
TXN0100053,2024-07-24,CUST1020,Air Filter,Northeast,Gold,Davis,176,59.15,0.099,0.0246,0.0532,0.0034,48.49,30.79
TXN0100054,2024-10-05,CUST1016,Brake Pad,Northeast,Standard,Evans,113,16.6,0.0286,0.0038,0.0934,0.0272,14.06,9.11
TXN0100055,2024-03-26,CUST1060,Oil Filter,Southeast,Silver,Hall,59,76.29,0.0737,0.0321,0.0249,0.0151,65.17,29.21
TXN0100056,2024-04-13,CUST1149,Wiper Blade,Northeast,Gold,Hall,46,22.67,0.1222,0.0301,0.0373,0.012,18.1,11.53
TXN0100057,2024-06-05,CUST1043,Brake Pad,Midwest,Standard,Ivanov,12,10.24,0.0316,0.0011,0.0558,0.0014,9.32,4.91
TXN0100058,2024-09-17,CUST1008,Air Filter,Southeast,Silver,Ivanov,216,21.65,0.0808,0.0037,0.0449,0.0239,18.33,9.12
TXN0100059,2024-05-06,CUST1148,Oil Filter,West,Bronze,Chen,45,91.4,0.0339,0.04,0.0682,0.0312,75.56,49.67
TXN0100060,2024-03-13,CUST1131,Spark Plug,West,Standard,Evans,20,44.26,0.0118,0.0046,0.0467,0.0085,41.09,19.62
TXN0100061,2024-04-13,CUST1036,Oil Filter,West,Standard,Hall,43,56.84,0.0324,0.0351,0.0602,0.0399,47.31,24.04
TXN0100062,2024-05-10,CUST1078,Battery,Northeast,Standard,Ivanov,170,9.8,0.0297,0.0151,0.0493,0.0031,8.85,3.95
TXN0100063,2024-02-06,CUST1077,Oil Filter,Southwest,Silver,Ivanov,222,74.18,0.0721,0.0245,0.0033,0.0008,66.71,34.89
TXN0100064,2024-01-06,CUST1127,Wiper Blade,Southeast,Gold,Foster,173,21.45,0.1145,0.0322,0.0806,0.0217,16.11,10.89
TXN0100065,2024-12-21,CUST1104,Air Filter,Midwest,Standard,Evans,123,26.82,0.0341,0.0326,0.1278,0.0255,20.92,13.75
TXN0100066,2024-08-15,CUST1093,Spark Plug,Midwest,Standard,Foster,169,73.42,0.048,0.0072,0.0469,0.024,64.16,31.36
TXN0100067,2024-06-07,CUST1036,Battery,Southeast,Gold,Foster,198,26.99,0.1222,0.0398,0.1128,0.0162,19.14,13.09
TXN0100068,2024-06-09,CUST1017,Wiper Blade,Southwest,Bronze,Chen,136,44.26,0.065,0.0386,0.0888,0.0157,35.05,19.71
TXN0100069,2024-01-01,CUST1146,Spark Plug,Southwest,Bronze,Hall,67,57.3,0.0537,0.0067,0.0848,0.0358,46.93,26.16
TXN0100070,2024-10-25,CUST1142,Air Filter,Southeast,Bronze,Evans,228,12.3,0.0592,0.0359,0.0732,0.029,9.87,6.39
TXN0100071,2024-11-26,CUST1088,Oil Filter,Southwest,Standard,Ivanov,40,73.19,0.0283,0.0099,0.0582,0.0306,63.89,33.24
TXN0100072,2024-08-01,CUST1094,Oil Filter,Northeast,Gold,Garcia,248,47.25,0.107,0.0079,0.0257,0.018,39.76,23.93
TXN0100073,2024-05-16,CUST1016,Spark Plug,Southwest,Bronze,Chen,85,11.08,0.0615,0.001,0.0771,0.0077,9.45,5.66
TXN0100074,2024-07-03,CUST1021,Air Filter,Southwest,Bronze,Hall,82,9.7,0.0396,0.0301,0.0967,0.0264,7.83,4
TXN0100075,2024-07-08,CUST1073,Oil Filter,West,Standard,Garcia,118,85.48,0.0384,0.0067,0.051,0.0218,75.4,46.06
TXN0100076,2024-04-07,CUST1142,Wiper Blade,Southwest,Standard,Foster,242,69.1,0.01,0.0171,0.1047,0.0058,59.59,29.18
TXN0100077,2024-01-03,CUST1115,Brake Pad,Northeast,Silver,Evans,90,42.52,0.0697,0.018,0.0457,0.0019,36.77,17.21
TXN0100078,2024-07-17,CUST1028,Battery,Midwest,Standard,Adams,205,59.61,0.0183,0.0207,0.0809,0.0261,50.91,28.55
TXN0100079,2024-10-16,CUST1049,Brake Pad,Southwest,Standard,Garcia,213,29.11,0.0356,0.0369,0.0643,0.0194,24.56,15.17
TXN0100080,2024-08-15,CUST1000,Oil Filter,Southeast,Standard,Hall,39,78.32,0.0024,0.0383,0.0402,0.0024,71.8,32.52
TXN0100081,2024-04-02,CUST1143,Wiper Blade,Southeast,Standard,Evans,116,84.41,0.0236,0.0121,0.1323,0.0147,68.99,33.36
TXN0100082,2024-11-23,CUST1121,Spark Plug,West,Bronze,Davis,26,34.13,0.0562,0.0333,0.0036,0.0077,30.69,18.02
TXN0100083,2024-03-11,CUST1050,Battery,West,Bronze,Ivanov,133,31.81,0.0482,0.0308,0.0951,0.0284,25.37,13.58
TXN0100084,2024-09-24,CUST1149,Wiper Blade,Southeast,Gold,Evans,119,48.72,0.1021,0.0215,0.1377,0.0296,34.55,23.7
TXN0100085,2024-01-27,CUST1064,Battery,Midwest,Bronze,Adams,209,23.21,0.051,0.0062,0.0583,0.0362,19.69,11.28
TXN0100086,2024-10-19,CUST1017,Air Filter,Southwest,Gold,Hall,159,92.75,0.1171,0.0119,0.023,0.0054,78.15,41.48
TXN0100087,2024-08-18,CUST1083,Battery,West,Silver,Garcia,174,25.18,0.0651,0.0084,0.0335,0.0197,21.99,11.07
TXN0100088,2024-03-02,CUST1035,Battery,Southeast,Standard,Ivanov,233,45.26,0.0267,0.0079,0.0461,0.0081,41.24,20.72
TXN0100089,2024-02-18,CUST1013,Battery,West,Silver,Foster,200,83.32,0.0641,0.0265,0.0947,0.0068,67.31,35.02
TXN0100090,2024-01-21,CUST1146,Wiper Blade,Northeast,Gold,Hall,42,58.33,0.1269,0.0321,0.0456,0.0296,44.67,29.45
TXN0100091,2024-06-26,CUST1043,Oil Filter,Southeast,Silver,Adams,155,45.39,0.0806,0.0171,0.0981,0.0005,36.48,20.51
TXN0100092,2024-09-21,CUST1141,Air Filter,West,Bronze,Adams,91,49.74,0.0588,0.0226,0.0615,0.0063,42.32,24.39
TXN0100093,2024-02-21,CUST1083,Battery,Southeast,Standard,Davis,219,45.38,0.0117,0.0053,0.074,0.0265,40.05,24.69
TXN0100094,2024-02-22,CUST1069,Brake Pad,Northeast,Bronze,Adams,65,55.07,0.0445,0.0358,0.0328,0.0264,47.39,24.46
TXN0100095,2024-11-10,CUST1089,Spark Plug,Northeast,Bronze,Adams,177,82.53,0.0434,0.0295,0.0256,0.036,71.43,36.32
TXN0100096,2024-09-05,CUST1140,Brake Pad,Northeast,Bronze,Foster,119,30.84,0.03,0.0035,0.0443,0.0319,27.46,12.8
TXN0100097,2024-07-15,CUST1036,Spark Plug,West,Bronze,Garcia,171,84.18,0.0622,0.0291,0.0267,0.0218,72.41,41.27
TXN0100098,2024-09-19,CUST1105,Wiper Blade,Northeast,Silver,Ivanov,187,69.33,0.0687,0.0228,0.0746,0.0053,57.45,27.8
TXN0100099,2024-09-20,CUST1030,Battery,Northeast,Bronze,Davis,169,22.88,0.0432,0.033,0.0915,0.0201,18.58,10.98
TXN0100100,2024-03-26,CUST1011,Spark Plug,Southeast,Silver,Foster,115,37.13,0.097,0.015,0.1308,0.0029,28.01,18.19
TXN0100101,2024-08-24,CUST1125,Oil Filter,West,Silver,Chen,23,42.25,0.072,0.025,0.0718,0.0324,33.75,20.32
TXN0100102,2024-06-27,CUST1112,Air Filter,Southeast,Standard,Hall,156,76.71,0.0124,0.0325,0.0544,0.0092,68.39,34.54
TXN0100103,2024-03-25,CUST1074,Brake Pad,Northeast,Silver,Foster,185,45.86,0.066,0.0213,0.1137,0.0305,35.24,20.51
TXN0100104,2024-01-15,CUST1133,Air Filter,Southwest,Silver,Chen,204,36.6,0.0935,0.0172,0.0864,0.0199,28.66,16.23
TXN0100105,2024-08-22,CUST1071,Brake Pad,Midwest,Bronze,Garcia,117,89.21,0.0405,0.0229,0.0673,0.0359,74.35,44.51
TXN0100106,2024-01-03,CUST1085,Oil Filter,West,Gold,Foster,124,59.79,0.119,0.0378,0.1171,0.0335,41.41,26.55
TXN0100107,2024-11-18,CUST1066,Battery,Southeast,Silver,Adams,189,83.56,0.0702,0.0343,0.0784,0.0283,65.91,44.71
TXN0100108,2024-02-14,CUST1096,Wiper Blade,Northeast,Silver,Foster,148,8.87,0.096,0,0.0991,0.0272,6.9,4.56
TXN0100109,2024-06-23,CUST1059,Air Filter,Southwest,Bronze,Garcia,225,16.5,0.05,0.0112,0.0415,0.0122,14.6,6.73
TXN0100110,2024-10-16,CUST1080,Wiper Blade,Northeast,Bronze,Davis,14,69.65,0.0645,0.0102,0.0472,0.0201,59.76,37.69
TXN0100111,2024-10-12,CUST1036,Air Filter,Northeast,Bronze,Ivanov,219,38.62,0.0505,0.0189,0.0679,0.0298,32.17,16.44
TXN0100112,2024-11-17,CUST1051,Brake Pad,Northeast,Standard,Davis,89,50.91,0.035,0.0377,0.0951,0.0301,40.83,24.5
TXN0100113,2024-06-07,CUST1034,Battery,Southeast,Standard,Garcia,232,19.19,0.0008,0.0061,0.0797,0.0183,17.18,8.11
TXN0100114,2024-02-03,CUST1060,Brake Pad,West,Gold,Evans,59,87.47,0.1078,0.0045,0.0739,0.0123,70.11,44.48
TXN0100115,2024-05-09,CUST1033,Battery,Northeast,Standard,Evans,109,85.84,0.0104,0.0385,0.1382,0.0302,67.19,41.36
TXN0100116,2024-05-16,CUST1136,Brake Pad,Midwest,Silver,Adams,11,82.23,0.0547,0.02,0.0468,0.0208,70.53,36.81
TXN0100117,2024-04-26,CUST1046,Battery,West,Gold,Ivanov,8,77.21,0.1041,0.0189,0.0059,0.0341,64.62,37.16
TXN0100118,2024-02-09,CUST1030,Air Filter,West,Gold,Evans,85,34.84,0.1147,0.0184,0.1192,0.0263,25.13,13.85
TXN0100119,2024-04-15,CUST1137,Oil Filter,Northeast,Silver,Hall,108,57.73,0.0827,0.023,0.0383,0.0128,48.68,27.19
TXN0100120,2024-01-25,CUST1067,Brake Pad,Northeast,Gold,Ivanov,147,89.51,0.1205,0.0193,0.0661,0.0178,69.49,41.76
TXN0100121,2024-09-08,CUST1018,Battery,Northeast,Standard,Adams,169,52.26,0.0046,0.0161,0.0063,0.026,49.49,25.91
TXN0100122,2024-07-06,CUST1144,Spark Plug,Southwest,Gold,Evans,195,53.65,0.0897,0.0054,0.0888,0.0191,42.76,28.37
TXN0100123,2024-05-16,CUST1040,Battery,West,Bronze,Garcia,156,33.17,0.0391,0.0269,0.0782,0.0246,27.57,13.96
TXN0100124,2024-02-08,CUST1119,Spark Plug,Southwest,Silver,Ivanov,165,19.4,0.0857,0.011,0.0046,0.0116,17.21,9.82
TXN0100125,2024-06-16,CUST1113,Brake Pad,Northeast,Gold,Chen,98,13.35,0.1183,0.0231,0.0106,0.039,10.8,5.43
TXN0100126,2024-02-25,CUST1113,Battery,Midwest,Bronze,Ivanov,63,40.39,0.0321,0.0349,0.0981,0.0191,32.95,16.64
TXN0100127,2024-03-19,CUST1106,Brake Pad,Southeast,Bronze,Garcia,230,57.63,0.0637,0.0146,0.0048,0.0036,52.63,26.76
TXN0100128,2024-10-22,CUST1093,Air Filter,Midwest,Gold,Foster,91,83.39,0.0943,0.0187,0.0555,0.0253,67.23,43.76
TXN0100129,2024-04-03,CUST1011,Air Filter,Northeast,Gold,Ivanov,21,60.82,0.0887,0.0322,0.0196,0.0174,51.22,25.68
TXN0100130,2024-07-11,CUST1034,Brake Pad,West,Standard,Evans,79,14.72,0.0402,0.0364,0.0583,0.0283,12.32,6.34
TXN0100131,2024-02-25,CUST1127,Brake Pad,Southeast,Gold,Foster,7,31.71,0.1148,0.0032,0.0746,0.0175,25.05,16.1
TXN0100132,2024-05-13,CUST1032,Air Filter,Midwest,Bronze,Hall,194,38.85,0.0243,0.0261,0.0651,0.007,34.09,16.35
TXN0100133,2024-04-11,CUST1034,Spark Plug,Midwest,Bronze,Hall,141,91.77,0.0427,0.0194,0.0571,0.0092,79.99,46.38
TXN0100134,2024-02-12,CUST1005,Battery,West,Silver,Adams,101,31.35,0.0565,0.0292,0.0538,0.0355,25.86,14.13
TXN0100135,2024-04-04,CUST1089,Oil Filter,Midwest,Gold,Ivanov,97,12.41,0.0902,0.0334,0.0894,0.0207,9.51,4.77
TXN0100136,2024-01-07,CUST1024,Oil Filter,Northeast,Standard,Adams,168,87.8,0.0434,0.0257,0.0312,0.024,76.89,42.91
TXN0100137,2024-11-02,CUST1147,Wiper Blade,Southeast,Standard,Chen,106,44.24,0.0235,0.0329,0.0135,0.0192,40.3,18.88
TXN0100138,2024-09-26,CUST1018,Spark Plug,Southwest,Standard,Davis,20,64.89,0.0161,0.0379,0.0458,0.0046,58.12,27.94
TXN0100139,2024-09-14,CUST1124,Wiper Blade,West,Bronze,Adams,234,30.3,0.0235,0.0008,0.0107,0.0308,28.31,13.23
TXN0100140,2024-07-26,CUST1039,Battery,West,Silver,Hall,53,28.65,0.08,0.0397,0.0618,0.006,23.28,13.47
TXN0100141,2024-10-01,CUST1068,Wiper Blade,Northeast,Bronze,Ivanov,152,30.4,0.0656,0.0262,0.0981,0.0127,24.24,12.79
TXN0100142,2024-05-13,CUST1000,Battery,Midwest,Standard,Hall,109,36.47,0.0057,0.0217,0.0697,0.0394,31.49,15.02
TXN0100143,2024-05-24,CUST1052,Oil Filter,West,Standard,Foster,100,42.78,0.0344,0.0053,0.096,0.0151,36.33,23.09
TXN0100144,2024-01-02,CUST1021,Oil Filter,Southeast,Bronze,Evans,205,60.87,0.0687,0.0365,0.1371,0.0298,44.31,30.14
TXN0100145,2024-10-25,CUST1069,Wiper Blade,Midwest,Gold,Davis,88,28.87,0.0886,0.0146,0.0831,0.0152,23.05,15.78
TXN0100146,2024-03-03,CUST1078,Oil Filter,West,Standard,Garcia,212,16.24,0.04,0.0383,0.0808,0.0086,13.52,7.54
TXN0100147,2024-11-20,CUST1136,Wiper Blade,Southwest,Gold,Adams,79,43.74,0.0946,0.0173,0.026,0.0303,36.38,18.12
TXN0100148,2024-03-12,CUST1137,Spark Plug,Southeast,Standard,Davis,157,69.77,0.0186,0.0396,0.01,0.003,64.8,33.97
TXN0100149,2024-10-26,CUST1065,Brake Pad,West,Silver,Hall,86,80.42,0.0935,0.0348,0.0504,0.0045,65.69,33.55
TXN0100150,2024-05-13,CUST1010,Air Filter,Southwest,Gold,Hall,159,14.22,0.1131,0.0305,0.0273,0.0217,11.48,6.28
TXN0100151,2024-12-22,CUST1027,Brake Pad,West,Gold,Davis,143,94.68,0.1264,0.0362,0.015,0.0081,77.1,50.34
TXN0100152,2024-01-05,CUST1068,Oil Filter,West,Silver,Adams,107,26.21,0.0583,0.0347,0.0671,0.0218,21.44,13.81
TXN0100153,2024-11-12,CUST1070,Air Filter,Midwest,Silver,Chen,225,23.9,0.0523,0.0347,0.0244,0.0147,20.89,9.26
TXN0100154,2024-07-18,CUST1100,Oil Filter,Southwest,Silver,Hall,90,18.69,0.0626,0.025,0.0809,0.0117,15.32,7.2
TXN0100155,2024-09-12,CUST1133,Spark Plug,Southeast,Silver,Davis,29,64.08,0.0511,0.0276,0.0163,0.0124,57.2,30.27
TXN0100156,2024-04-19,CUST1078,Brake Pad,West,Standard,Foster,87,42.01,0.0401,0.0129,0.0823,0.0012,36.28,18.42
TXN0100157,2024-12-18,CUST1066,Oil Filter,Southwest,Bronze,Garcia,17,94.56,0.0253,0.036,0.0743,0.029,79,44.4
TXN0100158,2024-03-09,CUST1100,Brake Pad,Southwest,Standard,Foster,93,29.46,0.0113,0.0025,0.1292,0.0375,24.14,15.45
TXN0100159,2024-11-09,CUST1028,Air Filter,Southeast,Standard,Foster,73,63.39,0.0142,0.0189,0.1006,0.0028,54.74,28.68
TXN0100160,2024-01-01,CUST1041,Spark Plug,Southwest,Standard,Foster,56,46.11,0.0134,0.0124,0.0733,0.0338,39.98,25.02
TXN0100161,2024-07-03,CUST1063,Oil Filter,West,Standard,Ivanov,63,67.26,0.0265,0.0389,0.0441,0.0246,58.24,32.93
TXN0100162,2024-02-18,CUST1108,Battery,Southeast,Gold,Chen,102,43.21,0.124,0.0323,0.0314,0.0042,34.92,20.59
TXN0100163,2024-01-13,CUST1013,Spark Plug,Southwest,Bronze,Garcia,235,72.2,0.037,0.034,0.007,0.0052,66.19,30.47
TXN0100164,2024-11-01,CUST1059,Air Filter,Southwest,Silver,Garcia,80,92.69,0.0977,0.0094,0.069,0.024,74.14,36.27
TXN0100165,2024-06-15,CUST1083,Air Filter,Southwest,Bronze,Garcia,164,50.59,0.0562,0.033,0.0496,0.0147,42.82,23.93
TXN0100166,2024-02-27,CUST1064,Battery,Northeast,Standard,Garcia,32,26.79,0.0483,0.0031,0.079,0.0211,22.73,10.77
TXN0100167,2024-07-02,CUST1054,Spark Plug,Southwest,Bronze,Hall,154,87.67,0.0587,0.001,0.0653,0.0294,74.13,47.67
TXN0100168,2024-02-16,CUST1014,Battery,Southwest,Bronze,Ivanov,190,46.64,0.0422,0.0374,0.0888,0.0239,37.67,21
TXN0100169,2024-09-19,CUST1087,Spark Plug,West,Bronze,Hall,247,18.56,0.0651,0.0318,0.0969,0.0337,14.34,7.77
TXN0100170,2024-12-02,CUST1124,Battery,Southwest,Silver,Davis,165,71.48,0.0933,0.0321,0.0924,0.0001,55.9,38.53
TXN0100171,2024-10-04,CUST1064,Brake Pad,Northeast,Silver,Garcia,117,92.82,0.08,0.0098,0.0113,0.0336,80.32,43.19
TXN0100172,2024-03-02,CUST1017,Battery,Midwest,Bronze,Evans,200,74.59,0.0613,0.0395,0.1381,0.0292,54.59,39.51
TXN0100173,2024-12-07,CUST1134,Brake Pad,Southwest,Standard,Davis,45,65.2,0.0456,0.013,0.0524,0.0148,57,29.41
TXN0100174,2024-05-01,CUST1031,Spark Plug,Northeast,Standard,Foster,67,31.14,0.0469,0.0252,0.1081,0.0007,25.51,12.02
TXN0100175,2024-04-22,CUST1101,Spark Plug,Midwest,Silver,Garcia,29,65.06,0.0708,0.0044,0.0885,0.0185,53.21,28.53
TXN0100176,2024-05-18,CUST1104,Brake Pad,Midwest,Silver,Chen,106,50.06,0.0998,0.0033,0.0078,0.0022,44.4,19.3
TXN0100177,2024-05-01,CUST1031,Battery,Southeast,Silver,Hall,220,12.33,0.0986,0.0371,0.0552,0.0119,9.83,6.27
TXN0100178,2024-02-21,CUST1103,Brake Pad,Southeast,Silver,Foster,107,85.4,0.0942,0.0304,0.1384,0.0004,62.91,34.45
TXN0100179,2024-02-26,CUST1098,Oil Filter,West,Bronze,Adams,197,36.87,0.04,0.0028,0.0197,0.0338,33.32,19.37
TXN0100180,2024-03-21,CUST1080,Battery,Northeast,Standard,Adams,90,64.28,0.0081,0.0148,0.0128,0.0329,59.87,25.59
TXN0100181,2024-07-02,CUST1065,Air Filter,Southeast,Standard,Chen,63,77.9,0.0314,0.0269,0.0982,0.0385,62.71,36.49
TXN0100182,2024-10-13,CUST1120,Brake Pad,Midwest,Standard,Chen,205,72.13,0.0136,0.0175,0.0385,0.0398,64.24,31.17
TXN0100183,2024-08-14,CUST1056,Wiper Blade,Southwest,Standard,Garcia,245,16.32,0.0029,0.0007,0.0735,0.0259,14.64,7.29
TXN0100184,2024-05-20,CUST1056,Brake Pad,Southwest,Silver,Chen,157,89.61,0.0757,0.0125,0.0314,0.0313,76.09,46.37
TXN0100185,2024-01-07,CUST1063,Wiper Blade,Southeast,Gold,Chen,75,22.03,0.1254,0.0146,0.0673,0.0099,17.25,8.73
TXN0100186,2024-07-05,CUST1083,Spark Plug,Southwest,Silver,Chen,60,48.04,0.0923,0.0067,0.0782,0.0103,39.03,22.23
TXN0100187,2024-04-24,CUST1003,Air Filter,West,Standard,Chen,57,12.9,0.0352,0.0342,0.0691,0.0278,10.75,5.47
TXN0100188,2024-03-16,CUST1105,Wiper Blade,Southeast,Silver,Garcia,249,51.29,0.0974,0.0142,0.0755,0.0275,40.28,20.36
